Sales_ID,name,year,selling_price_INR,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,cylinders,displacement,acceleration,weight,,State or Province,Region
15,Maruti,2009,14940000,90000,Petrol,Individual,Manual,Second_Owner,14.1 kmpl,1061,135 bhp,84Nm@ 3500rpm,5,6,2047,7.7,1560,,Karnataka,South
16,Mahindra,2016,33200000,40000,Petrol,Individual,Manual,First_Owner,15.1 kmpl,1198,78 bhp,115Nm@ 3500-3600rpm,5,4,1207,9.5,1051,,West Bengal,East
28,Chevrolet,2013,24900000,70000,Diesel,Individual,Manual,First_Owner,10.4 kmpl,1248,173 bhp,172.5Nm@ 1750rpm,7,6,2937,6.1,1437,,Delhi,North
29,Maruti,2009,18260000,120000,Petrol,Individual,Manual,First_Owner,10.7 kmpl,1061,273 bhp,84Nm@ 3500rpm,5,8,3742,8,1778,,West Bengal,East
40,Tata,2011,35275000,60000,Diesel,Individual,Manual,Second_Owner,14.3 kmpl,2179,138 bhp,320Nm@ 1700-2700rpm,7,6,2697,9,1613,,West Bengal,East
55,Honda,2015,43575000,63000,Diesel,Dealer,Manual,First_Owner,20.5 kmpl,1498,58 bhp,200Nm@ 1750rpm,5,3,1043,9.9,835,,Tamil Nadu,South
56,Toyota,2016,136950000,127700,Diesel,Dealer,Automatic,Second_Owner,14.7 kmpl,2755,179 bhp,360Nm@ 1200-3400rpm,7,6,2489,11.5,1592,,Delhi,North
57,Toyota,2016,78850000,99000,Diesel,Dealer,Manual,First_Owner,7.2 kmpl,2494,211 bhp,200Nm@ 1200-3600rpm,7,8,3974,11.6,2492,,Delhi,North
58,Audi,2013,145250000,33900,Diesel,Dealer,Automatic,Second_Owner,21.5 kmpl,1968,69 bhp,380Nm@ 1750-2500rpm,5,3,1109,9.6,854,,Delhi,North
60,Audi,2013,140269917,50000,Diesel,Dealer,Automatic,First_Owner,13.7 kmpl,1968,118 bhp,400Nm@ 1750-3000rpm,5,5,1662,9.6,1300,,West Bengal,East
61,Mercedes,2013,118275000,59000,Diesel,Dealer,Automatic,First_Owner,22.0 kmpl,2143,74 bhp,400Nm@ 1400-2800rpm,5,3,891,12.3,827,,Karnataka,South
62,Tata,2011,21995000,120000,Diesel,Individual,Manual,First_Owner,16.2 kmpl,1248,87 bhp,200Nm@ 1750-3000rpm,5,4,1519,5.2,1195,,Delhi,North
72,Maruti,2016,61835000,70000,Diesel,Individual,Manual,First_Owner,22.9 kmpl,1248,62 bhp,200Nm@ 1750rpm,5,3,889,8.6,814,,West Bengal,East
73,Maruti,2019,85075000,9850,Diesel,Individual,Automatic,First_Owner,15.6 kmpl,1248,121 bhp,200Nm@ 1750rpm,5,5,1872,8.7,1263,,Tamil Nadu,South
80,Volkswagen,2013,37350000,170000,Diesel,Individual,Manual,First_Owner,13.1 kmpl,1598,175 bhp,250Nm@ 1500-2500rpm,5,6,2311,6.7,1500,,Karnataka,South
90,Maruti,2017,23240000,32000,Petrol,Dealer,Manual,First_Owner,24.8 kmpl,796,74 bhp,6.1kgm@ 3000rpm,5,3,1057,12.7,904,,Tamil Nadu,South
91,Maruti,2010,18675000,44000,LPG,Dealer,Manual,First_Owner,23.8 kmpl,998,63 bhp,77Nm@ 3500rpm,5,3,1086,9.9,842,,Karnataka,South
92,Volkswagen,2015,37765000,42000,Petrol,Dealer,Manual,First_Owner,22.4 kmpl,1198,55 bhp,110Nm@ 3750rpm,5,3,1020,9.7,943,,West Bengal,East
